1.880,-0.248,0.195,-2.124,-2.610,2.019,-1.305,-1.205,1.111,-0.917,0.077,-0.372,0.112
1.900,-0.300,0.235,-2.150,-2.595,1.970,-1.297,-1.203,1.101,-0.914,0.099,-0.486,0.142
1.920,-0.351,0.273,-2.176,-2.576,1.912,-1.288,-1.201,1.089,-0.911,0.121,-0.610,0.174
1.940,-0.402,0.310,-2.201,-2.554,1.844,-1.277,-1.198,1.074,-0.907,0.143,-0.746,0.205
1.960,-0.453,0.345,-2.226,-2.529,1.768,-1.265,-1.194,1.056,-0.902,0.167,-0.900,0.238
1.980,-0.503,0.379,-2.251,-2.501,1.682,-1.251,-1.190,1.034,-0.896,0.191,-1.075,0.271
2.000,-0.552,0.411,-2.276,-2.470,1.589,-1.235,-1.186,1.009,-0.890,0.217,-1.277,0.306
2.020,-0.601,0.440,-2.300,-2.436,1.487,-1.218,-1.181,0.979,-0.883,0.244,-1.511,0.341
2.040,-0.649,0.468,-2.324,-2.399,1.378,-1.199,-1.176,0.943,-0.876,0.272,-1.787,0.378
2.060,-0.696,0.493,-2.348,-2.359,1.262,-1.179,-1.170,0.901,-0.868,0.302,-2.113,0.416
2.080,-0.742,0.516,-2.371,-2.316,1.140,-1.158,-1.163,0.851,-0.858,0.333,-2.501,0.455
2.100,-0.788,0.536,-2.394,-2.270,1.012,-1.135,-1.156,0.791,-0.848,0.367,-2.962,0.496
2.120,-0.832,0.554,-2.416,-2.221,0.879,-1.110,-1.148,0.721,-0.838,0.404,-3.506,0.539
2.140,-0.876,0.569,-2.438,-2.169,0.742,-1.085,-1.139,0.639,-0.826,0.443,-4.138,0.584
2.160,-0.918,0.581,-2.459,-2.115,0.602,-1.058,-1.129,0.542,-0.813,0.485,-4.850,0.631
2.180,-0.959,0.590,-2.480,-2.058,0.458,-1.029,-1.119,0.429,-0.800,0.531,-5.611,0.680
2.200,-0.999,0.596,-2.500,-1.999,0.312,-1.000,-1.107,0.302,-0.785,0.580,-6.354,0.731
2.220,-1.038,0.599,-2.519,-1.937,0.164,-0.969,-1.094,0.163,-0.769,0.635,-6.973,0.785
2.240,-1.075,0.600,-2.538,-1.873,0.016,-0.936,-1.080,0.016,-0.753,0.694,-7.346,0.842
2.260,-1.111,0.597,-2.556,-1.806,-0.133,-0.903,-1.065,-0.132,-0.735,0.759,-7.384,0.901
2.280,-1.146,0.592,-2.573,-1.738,-0.280,-0.869,-1.049,-0.273,-0.715,0.831,-7.077,0.963
2.300,-1.179,0.583,-2.590,-1.667,-0.427,-0.833,-1.030,-0.403,-0.695,0.910,-6.501,1.029
2.320,-1.211,0.572,-2.606,-1.594,-0.571,-0.797,-1.010,-0.519,-0.673,0.998,-5.775,1.097
